ID,В стоп-л,Email польз.,Email VK,Email Yandex,Email Google,Email OK,Email Twitter,Email FB,ID пользователя,Дата рождения,Кол-во транзакций,Накоп. сумма,Посл. пожер.
471,Нет,-,-,-,-,-,-,-,Не указано,Не указано,4,100.00,30.12.2019 01:14:17
470,Нет,-,-,-,-,-,-,-,Не указано,Не указано,17,700.00,04.01.2020 04:01:46
469,Нет,-,-,-,-,-,-,-,Не указано,Не указано,4,100.00,09.01.2020 20:09:20
468,Нет,Есть,-,-,-,-,-,-,2507,1995-09-26,10,1400.00,12.01.2020 19:32:43
467,Нет,Есть,-,-,-,-,-,-,64620,Не указано,10,2600.00,26.05.2024 09:12:15
466,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,200.00,16.01.2020 19:57:44
465,Нет,-,-,-,-,-,-,-,Не указано,Не указано,31,2800.00,16.01.2020 22:39:00
464,Нет,-,-,-,-,-,-,-,Не указано,Не указано,6,300.00,18.01.2020 15:33:18
463,Нет,-,-,-,-,-,-,-,Не указано,Не указано,19,650.00,26.01.2020 19:53:14
462,Нет,Есть,-,-,-,-,-,-,152229,1986-07-11,31,4450.00,28.01.2020 04:48:21
461,Нет,Есть,-,-,-,-,-,-,136842,1966-08-13,6,600.00,29.01.2020 17:12:36
460,Нет,Есть,-,-,-,-,-,-,8175,Не указано,29,2600.00,03.02.2020 17:41:52
459,Нет,Есть,-,-,-,-,-,-,139240,Не указано,6,300.00,06.02.2020 21:05:03
458,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,0,05.04.2020 14:14:41
457,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,35.00,06.04.2020 02:52:11
456,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,1000.00,16.04.2020 04:15:47
455,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,23.00,18.04.2020 17:36:29
454,Нет,Есть,-,-,-,-,-,-,152839,Не указано,7,1200.00,13.05.2020 02:57:41
453,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,500.00,19.05.2020 19:24:59
452,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,300.00,20.05.2020 16:17:39
451,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,100.00,20.05.2020 19:11:54
450,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,100.00,21.05.2020 01:09:46
449,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,300.00,14.06.2020 19:26:48
448,Нет,Есть,-,-,-,-,-,-,150359,1998-07-17,3,0,14.06.2020 21:12:45
